sensor_ident,sensor_name,sensor_type,polarity_type,polarity_label,n_valid_days
Z10CT101,Dandicolle vers Boulevards,4G,2,balanced,217
Z10CT102,Dandicolle vers Mériadeck,4G,0,morning-dominant,217
Z12CT101,199 Blv Roosevelt vers Blv Albert 1er,4G,1,evening-dominant,240
Z12CT15,Boulevard Albert 1er vers Boulevard Roosevelt,BOUCLE,0,morning-dominant,346
Z14CT101,Chaban entrant Nord,4G,0,morning-dominant,288
Z14CT102,Chaban sortant Nord,4G,1,evening-dominant,287
Z14CT103,Chaban entrant Sud,4G,2,balanced,145
Z14CT104,Chaban sortant Sud,4G,1,evening-dominant,145
Z16CT101,Totem vélo Sens Entrant,4G,1,evening-dominant,306
Z16CT102,Totem vélo Sens Sortant,4G,0,morning-dominant,306
Z16CT105,Bordeaux vers Haut Leveque,4G,2,balanced,117
Z16CT106,Haut Leveque vers Bordeaux,4G,1,evening-dominant,117
Z16CT107,Rocade vers Pessac Centre,4G,1,evening-dominant,235
Z16CT108,Pessac Centre vers Rocade,4G,0,morning-dominant,235
Z1701CT23,21 Cours du Général De Gaulle vers ech. 16,BOUCLE,2,balanced,345
Z1701CT24,21 Cours du Général De Gaulle vers Professeur Villemin,BOUCLE,1,evening-dominant,345
Z1705CT1,Avenue Thouars - Marne vers centre Talence,BOUCLE,2,balanced,345
Z1705CT2,Avenue Thouars - Marne vers rocade,BOUCLE,1,evening-dominant,345
Z19CT101,Leognan vers Bordeaux,4G,0,morning-dominant,294
Z19CT102,Bordeaux vers Leognan,4G,1,evening-dominant,295
Z201CT101,37 Cours du Marechal Juin vers Boulevard,BOUCLE,1,evening-dominant,51
Z201CT102,37 Cours du Marechal Juin vers Pey Berland,BOUCLE,1,evening-dominant,51
Z201CT4,37 Cours du Marechal Juin vers Pey Berland,BOUCLE,2,balanced,296
Z201CT5,37 Cours du Marechal Juin vers Boulevard,BOUCLE,2,balanced,296
Z203CT6,Pont de Pierre vers Bir Hakeim,BOUCLE,2,balanced,345
Z203CT7,Pont de Pierre vers Stalingrad,BOUCLE,2,balanced,345
Z21CT102,Bordeaux vers Bruges,4G,1,evening-dominant,177
Z21CT103,Bruges vers Bordeaux,4G,2,balanced,178
Z2203CT3,34 Avenue de Paris vers rue Daniel,BOUCLE,2,balanced,345
Z2203CT4,34 Avenue de Paris vers Prévost Sansac de Traversay,BOUCLE,1,evening-dominant,345
Z23CT101,Hippodrome vers Bruges,4G,1,evening-dominant,267
Z23CT102,Bruges vers Hippodrome,4G,1,evening-dominant,266
Z23CT103,de Gaulle vers Gaussens,4G,1,evening-dominant,139
Z23CT104,Gaussens vers de Gaulle,4G,1,evening-dominant,139
Z23CT105,Le Taillan vers Bruges,4G,1,evening-dominant,174
Z23CT106,Bruges vers Le Taillan,4G,0,morning-dominant,174
Z23CT107,Eysines vers Blanquefort,4G,1,evening-dominant,177
Z23CT108,Blanquefort vers Eysines,4G,0,morning-dominant,177
